メーカー品番,仕入先,Digi-Key品番,客先参照品番（任意）,参照名,梱包形態,部品状況,数量,単価,金額,在庫数量,メーカー標準リードタイム,商品概要,RoHS ステータス,鉛フリーステータス,REACHステータス
10M02SCE144C8G,Intel,544-3098-ND,,,Tray,Active,1,823,\823,1666,26 週間,IC FPGA 101 I/O 144EQFP,RoHS対応,鉛フリー,REACHの影響なし
STM32F723ZCT6,STMicroelectronics,497-STM32F723ZCT6-ND,,,Tray,Active,1,1435,"\1,435",398,26 週間,IC MCU 32BIT 256KB FLASH 144LQFP,ROHS3対応,鉛フリー,REACHの影響なし
IO-XLR3-M-BH,IO Audio Technologies,1937-IO-XLR3-M-BH-ND,,,Bulk,Active,2,418,\836,248,14 週間,"B SERIES, 3 PIN XLR, MALE, HORIZ",ROHS3対応,Not Available,Not Available
CD214A-B240R,Bourns Inc.,118-CD214A-B240RCT-ND,,,Cut Tape (CT),Active,8,51,\408,10410,26 週間,DIO SBD VRRM 40V 2A SMA,ROHS3対応,鉛フリー,Not Available
AZ1117IH-3.3TRG1,Diodes Incorporated,AZ1117IH-3.3TRG1DICT-ND,,,Cut Tape (CT),Active,2,42,\84,73464,19 週間,IC REG LINEAR 3.3V 1A SOT223,ROHS3対応,鉛フリー,REACHの影響なし
NJM4580D,NJR Corporation/NJRC,NJM4580D-ND,,,Tube,Active,4,80,\320,2538,12 週間,IC AUDIO 2 CIRCUIT 8DIP,RoHS対応,鉛フリー,REACHの影響なし
ECH-U1H103JX5,Panasonic Electronic Components,PCF1340CT-ND,,,Cut Tape (CT),Active,2,47,\94,25884,12 週間,CAP FILM 10000PF 5% 50VDC 1206,ROHS3対応,鉛フリー,Not Available
SC189ZSKTRT,Semtech Corporation,SC189ZSKCT-ND,,,Cut Tape (CT),Active,1,136,\136,3407,5 週間,IC REG BUCK 3.3V 1.5A SOT23-5,RoHS対応,鉛フリー,Not Available
MIC5225-3.3YM5-TR,Microchip Technology,576-2980-1-ND,,,Cut Tape (CT),Active,2,46,\92,24534,26 週間,IC REG LINEAR 3.3V 150MA SOT23-5,ROHS3対応,鉛フリー,REACHの影響なし
MLP1005M1R0DT0S1,TDK Corporation,445-172339-1-ND,,,Cut Tape (CT),Active,1,47,\47,6256,10 週間,FIXED IND 1UH 500MA 689 MOHM SMD,ROHS3対応,鉛フリー,REACHの影響なし
